t,XR,YR,ZR,XL,YL,ZL,theta 0,theta 7,theta 8,elbow R,elbow L,wrist R,wrist L,bass pedal,hihat control,head yaw,head pitch
37.7745,-0.0610,0.3630,-0.4430,-0.1390,0.3580,-0.4270,0.2688,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1665,0.3491
37.7745,-0.0610,0.3631,-0.4428,-0.1390,0.3580,-0.4270,0.2688,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1665,0.3491
37.7745,-0.0611,0.3633,-0.4421,-0.1390,0.3580,-0.4270,0.2689,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1666,0.3490
37.7745,-0.0612,0.3637,-0.4410,-0.1390,0.3580,-0.4270,0.2690,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1666,0.3490
37.7745,-0.0614,0.3642,-0.4394,-0.1390,0.3580,-0.4270,0.2691,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1667,0.3489
37.7746,-0.0616,0.3648,-0.4375,-0.1390,0.3580,-0.4270,0.2693,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1669,0.3488
37.7746,-0.0618,0.3656,-0.4351,-0.1390,0.3580,-0.4270,0.2696,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1671,0.3486
37.7746,-0.0621,0.3665,-0.4323,-0.1390,0.3580,-0.4270,0.2698,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1673,0.3484
37.7746,-0.0625,0.3676,-0.4292,-0.1390,0.3580,-0.4270,0.2701,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1675,0.3482
37.7746,-0.0628,0.3687,-0.4256,-0.1390,0.3580,-0.4270,0.2705,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1678,0.3478
37.7746,-0.0633,0.3700,-0.4218,-0.1390,0.3580,-0.4270,0.2709,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1681,0.3474
37.7746,-0.0637,0.3714,-0.4175,-0.1390,0.3580,-0.4270,0.2713,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1684,0.3469
37.7746,-0.0642,0.3730,-0.4130,-0.1390,0.3580,-0.4270,0.2718,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1687,0.3463
37.7746,-0.0648,0.3746,-0.4081,-0.1390,0.3580,-0.4270,0.2723,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1691,0.3457
37.7746,-0.0653,0.3764,-0.4030,-0.1390,0.3580,-0.4270,0.2728,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1695,0.3449
37.7746,-0.0659,0.3783,-0.3975,-0.1390,0.3580,-0.4270,0.2733,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1699,0.3440
37.7746,-0.0666,0.3803,-0.3918,-0.1390,0.3580,-0.4270,0.2739,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1704,0.3430
37.7746,-0.0673,0.3824,-0.3858,-0.1390,0.3580,-0.4270,0.2746,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1708,0.3420
37.7746,-0.0680,0.3846,-0.3796,-0.1390,0.3580,-0.4270,0.2752,0.1745,0.1745,0.0001,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1713,0.3408
37.7746,-0.0687,0.3869,-0.3732,-0.1390,0.3580,-0.4270,0.2759,0.1745,0.1745,0.0000,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1718,0.3395
37.7746,-0.0695,0.3893,-0.3665,-0.1390,0.3580,-0.4270,0.2766,0.1745,0.1745,0.0005,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1724,0.3380
37.7746,-0.0703,0.3918,-0.3597,-0.1390,0.3580,-0.4270,0.2773,0.1745,0.1745,0.0016,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1729,0.3365
37.7746,-0.0711,0.3944,-0.3527,-0.1390,0.3580,-0.4270,0.2781,0.1745,0.1745,0.0032,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1735,0.3348
37.7746,-0.0720,0.3971,-0.3455,-0.1390,0.3580,-0.4270,0.2789,0.1745,0.1745,0.0054,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1741,0.3330
37.7746,-0.0729,0.3999,-0.3382,-0.1390,0.3580,-0.4270,0.2797,0.1745,0.1745,0.0081,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1747,0.3311
37.7746,-0.0738,0.4027,-0.3308,-0.1390,0.3580,-0.4270,0.2806,0.1745,0.1745,0.0113,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1754,0.3290
37.7746,-0.0748,0.4057,-0.3233,-0.1390,0.3580,-0.4270,0.2814,0.1745,0.1745,0.0150,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1760,0.3269
37.7746,-0.0757,0.4087,-0.3157,-0.1390,0.3580,-0.4270,0.2823,0.1745,0.1745,0.0191,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1767,0.3245
37.7746,-0.0767,0.4118,-0.3079,-0.1390,0.3580,-0.4270,0.2832,0.1745,0.1745,0.0236,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1774,0.3221
37.7746,-0.0778,0.4150,-0.3002,-0.1390,0.3580,-0.4270,0.2841,0.1745,0.1745,0.0285,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1781,0.3195
37.7746,-0.0788,0.4182,-0.2923,-0.1390,0.3580,-0.4270,0.2851,0.1745,0.1745,0.0339,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1788,0.3168
37.7746,-0.0799,0.4215,-0.2845,-0.1390,0.3580,-0.4270,0.2860,0.1745,0.1745,0.0395,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1796,0.3139
37.7746,-0.0810,0.4249,-0.2766,-0.1390,0.3580,-0.4270,0.2870,0.1745,0.1745,0.0455,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1803,0.3109
37.7746,-0.0821,0.4284,-0.2687,-0.1390,0.3580,-0.4270,0.2880,0.1745,0.1745,0.0518,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1811,0.3078
37.7746,-0.0832,0.4319,-0.2608,-0.1390,0.3580,-0.4270,0.2890,0.1745,0.1745,0.0584,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1819,0.3046
37.7746,-0.0844,0.4354,-0.2530,-0.1390,0.3580,-0.4270,0.2901,0.1745,0.1745,0.0653,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1827,0.3012
37.7746,-0.0855,0.4390,-0.2452,-0.1390,0.3580,-0.4270,0.2911,0.1745,0.1745,0.0724,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1835,0.2977
37.7746,-0.0867,0.4427,-0.2374,-0.1390,0.3580,-0.4270,0.2921,0.1745,0.1745,0.0797,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1843,0.2941
37.7746,-0.0879,0.4465,-0.2297,-0.1390,0.3580,-0.4270,0.2932,0.1745,0.1745,0.0872,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1851,0.2903
37.7746,-0.0891,0.4502,-0.2221,-0.1390,0.3580,-0.4270,0.2943,0.1745,0.1745,0.0949,0.0000,0.3491,0.3491,0.0000,-0.0524,0.1860,0.2864
